name,coreName,curricularObjectiveName,levelNames,classroomNames,position
Realiza movimientos de brazos y piernas al sentirse emocionado/a. (3 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Menor,,
Mueve su cuerpo realizando rebotes y sacudiendo sus manos y pies. (6 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Menor,,
Muestra satisfacción al conseguir manipular objetos. (9 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Menor,,
Se acerca a lugares/objetos de interés. (12 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Menor,,
Realiza reiteradamente acciones que provocan goce. (15 meses),Corporalidad y Movimiento,"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Sala Cuna Menor,,
Mueve la cabeza buscando fuente de sonido. (3 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Menor,,
Adopta posición de gateo. (6 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Menor,,
Toma objetos utilizando prensión palmar. (9 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Menor,,
Logra alcanzar objetos en altura al arrodillarse y levantarse con apoyo. (12 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Menor,,
Según indicación del adulto es capaz de tocar partes de su cuerpo. (15 meses),Corporalidad y Movimiento,"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Sala Cuna Menor,,
Da manotazos a los objetos colgantes. (3 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Menor,,
Intenta alcanzar objetivos. (6 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Menor,,
Demuestra intención de explorar su entorno. (9 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Menor,,
Se ríe y celebra cuando logra su objetivo. (12 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Menor,,
Se integra en juegos o utiliza materiales de su interés. (15 meses),Corporalidad y Movimiento,Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Sala Cuna Menor,,
Agarra y sacude objetos involuntariamente. (3 meses),Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Menor,,
Se sienta y apoya sus manos como trípode. (6 meses),Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Menor,,
En posición sedente se inclina para alcanzar objetos sin perder la postura. (9 meses),Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Menor,,
Sitúa objetos en distintos lugares. (12 meses),Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Menor,,
Lanza o deposita objetos. (15 meses),Corporalidad y Movimiento,"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Sala Cuna Menor,,
Acostado en posición prono apoya sus antebrazos y levanta la cabeza. (3 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Menor,,
Gira desde posición supino a prono. (6 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Menor,,
Es un experto gateador. (9 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Menor,,
Se inicia en la marcha. (12 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Menor,,
Se inicia en la carrera. (15 meses),Corporalidad y Movimiento,"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Sala Cuna Menor,,
